Tittel;Hvor;Startdato;Starttid;Sluttdato;Sluttid;Kategori;Hype;Fast;Beskrivelse;;;;;;;
;;;;;;;;;;;;;;;;
Quiz på Cafe Opera;Cafe Opera;Mandag;20:30;;;Quiz;2;Ja;Nyt en quiz hver mandag på Cafe Opera;;;;;;;
;;;;;;;;;;;;;;;;
Mikromandag;Det Akademiske Kvarter;Mandag;17:00;;01:00;Prøv noe nytt;4;Ja;Kos deg med en øl brygget fra ;;;;;;;
;;;;;;;;;;;;;;;;
Quiz på Kvarteret;Det Akademiske Kvarter;Tirsdag;20:00;;;Quiz;2;Ja;Quiz på Det Akademiske Kvarter;;;;;;;
;;;;;;;;;;;;;;;;
Aktuell Frokost;Amalies hage;Tirsdag;08:30;;09:30;Debatt og samfunn;2;Ja;Start dagen din med en god diskusjon om aktuelle problemer i Amalies hage;;;;;;;
;;;;;;;;;;;;;;;;
Silent Disco;Vaskeriet;Onsdag;23:00;;02:30;Prøv noe nytt;5;Ja;For kun 100 kr får du en øl og et headset så du kan nyte musikken på egne ører;;;;;;;
;;;;;;;;;;;;;;;;
Quiz på Inside;Inside;Onsdag;20:00;;;Quiz;2;Ja;Quiz på Inside;;;;;;;
;;;;;;;;;;;;;;;;
Quiz på Ad fontes;Ad Fontes;Onsdag;20:00;;;Quiz;2;Ja;Quiz på Ad Fontes;;;;;;;
;;;;;;;;;;;;;;;;
Bobletorsdag;Parken;Torsdag;22:00;;02:30;Prøv noe nytt;4;Ja;På Torsdag er det ;;;;;;;
;;;;;;;;;;;;;;;;
Silent Disco;Vaskeriet ;Torsdag;23:00;;02:30;Prøv noe nytt;5;Ja;For kun 100 kr får du en øl og et headset for ;;;;;;;
;;;;;;;;;;;;;;;;
Quiz på Cafe Opera;Cafe Opera;Fredag;20:30;;;Quiz;2;Ja;Quiz på Cafe Opera;;;;;;;
;;;;;;;;;;;;;;;;
Quiz på Hectors;Hectors Hybel;Søndag;20:00;;;Quiz;2;Ja;Quiz på Hectors Hybel;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Julien Baker, Brigid Mae Power & Becca Mancari;Landmark;08.09.2018;20:30;14.09.2018;23:30;Konsert;5;Nei;Bli med på konsert!;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
CEZINANDO;NHH;14.09.2018;20:00;14.09.2018;;Konsert;6;Nei;En av Norges største nye artister, CEZINANDO, sørger for god stemning på NHH. ;;;;;;;
;;;;;;;;;;;;;;;;
Egil Olsen;Det Akademiske Kvarter;20.09.2018;21:00;20.09.2018;;Konsert;5;Nei;Egil Olsen ;;;;;;;
;;;;;;;;;;;;;;;;
Fay Wildhagen;Hulen;05.10.2018;20:00;05.10.2018;;Konsert;5;Nei;Fay Wildhagen;;;;;;;
;;;;;;;;;;;;;;;;
Bernhoft & The Fashion Bruises;USF Verftet;06.10.2018;19:00;06.10.2018;;Konsert;6;Nei;Bernoft;;;;;;;
;;;;;;;;;;;;;;;;
Rockout: Baby in Vain;Hulen;11.10.2018;21:00;11.10.2018;;Konsert;5;Nei;Rockout;;;;;;;
;;;;;;;;;;;;;;;;
Rockout: Sibiir;Hulen;12.10.2018;21:00;12.10.2018;;Konsert;5;Nei;Heavy- metal på sitt aller beste;;;;;;;
;;;;;;;;;;;;;;;;
Jonas Alaska;Kronbar;19.10.2018;19:00;20.10.2018;01:00;Konsert;6;Nei;Jonas Alaska varmet mange hjerter med slagere som ;;;;;;;
;;;;;;;;;;;;;;;;
Fred Well;Det Akademiske Kvarter;19.10.2018;21:00;19.10.2018;;Konsert;5;Nei;Fred Well;;;;;;;
;;;;;;;;;;;;;;;;
Rockout: Shining;Hulen;19.10.2018;21:00;19.10.2018;;Konsert;5;Nei;Rockout;;;;;;;
;;;;;;;;;;;;;;;;
Rockout: Krakow Slippfest;Hulen;20.10.2018;21:00;20.10.2018;;Konsert;5;Nei;Rockout;;;;;;;
;;;;;;;;;;;;;;;;
Heavy Metal Fest;Holmatun;27.10.2018;22:00;28.10.2018;02:00;Konsert;5;Nei;Var ikke Rockout nok? Heavy metal festen byr på noe av det bedre metallverden har å by på.;;;;;;;
;;;;;;;;;;;;;;;;
Amanda Delara;Røkeriet USF;01.11.2018;19:00;01.11.2018;;Konsert;5;Nei;Amanda Delara;;;;;;;
;;;;;;;;;;;;;;;;
LÜT;Kronbar;02.11.2018;19:00;03.11.2018;01:00;Konsert;5;Nei;LÜT;;;;;;;
;;;;;;;;;;;;;;;;
Lemaitre;Røkeriet USF;02.11.2018;19:00;;;Konsert;6;Nei;Lemaitre;;;;;;;
;;;;;;;;;;;;;;;;
HALIE;Røkeriet USF;09.11.2018;19:00;;;Konsert;6;Nei;HALIE;;;;;;;
;;;;;;;;;;;;;;;;
Gåte;USF Verftet;16.11.2018;19:00;;;Konsert;5;Nei;Gåte;;;;;;;
;;;;;;;;;;;;;;;;
Hjerteslag;Røkeriet USF;17.11.2018;20:00;;;Konsert;5;Nei;Hjerteslag;;;;;;;
;;;;;;;;;;;;;;;;
Morten Abel;Røkeriet USF;07.12.2018;20:00;;;Konsert;5;Nei;Morten Abel;;;;;;;
;;;;;;;;;;;;;;;;
Emir;Røkeriet USF;08.12.2018;21:00;;;Konsert;5;Nei;Emir;;;;;;;
;;;;;;;;;;;;;;;;
Bigbang;Røkeriet USF;21.12.2018;19:00;;;Konsert;5;Nei;Bigbang;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Vill Vill Vest 2018;Flere steder. Se nettsiden for mer informasjon;13.09.2018;;15.09.2018;;Festival;6;Årlig;Ikke gå glipp av årets Vill Vill Vest festival, med titalls Konsert, konferanser og andre uforglemmelige arrangementer;;;;;;;-
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Bergen Design Festival;Se nettsiden for mer informasjon;14.09.2018;;21.09.2018;;Festival;5;Nei;Her får studenter ved KMD vise fram sine nyeste design;;;;;;;
;;;;;;;;;;;;;;;;
Bergen Internasjonale Filmsenter;Bergen Kino;26.09.2018;;04.10.2018;;Festival;6;Årlig;Få med deg de nyeste filmene på årets BIFF!;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Bergen Strikkefestival;Norsk Trikotasje museum;28.09.2018;;30.09.2018;;Festival;5;Nei;Strikkefestival;;;;;;;
;;;;;;;;;;;;;;;;
Girl Interrupted Magazine;Landmark, Garage, Victoria &;05.10.2018;;;;Festival;5;Nei;Lanseringsfestival;;;;;;;
Lanseringsfestival ;Folk & Røvere;;;;;Festival;;;;;;;;;;
;;;;;;;;;;;;;;;;
Vibbefestival;USF Verftet;12.10.2018;18:30;13.10.2018;01:00;Festival;6;Nei;Vibber-fanger gjengen sørger for god stemning på verftet, med både Konsert, utekjøkken, klesbutikk og mye mer. ;;;;;;;
;;;;;;;;;;;;;;;;
Bergen Internasjonale Musikkfestival ;Bergen Internasjonale Kultursenter;24.10.2018;13:00;28.10.2018;02:30;Festival;5;Årlig;Nyt en helg med ;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Bergen Veganfestival ;Det Akademiske Kvarter;03.11.2018;09:00;03.11.2018;16:00;Festival;6;Nei;Veganfestival;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Hvorfor det?;USF Verftet;14.09.2018;20:30;;23:00;Prøv noe nytt;6;Nei;Få deg en god latter med en livepreformance av komiker Trond Viggo Torgersen og Tore Sagen!;;;;;;;
;;;;;;;;;;;;;;;;
Den Hemmelige Festen;USF Verftet;15.09.2018;19:00;16.09.2018;03:00;Prøv noe nytt;6;Årlig;Et veldig populært arrangement. Hvorfor må du finne ut av selv - det er tross alt hemmelig!;;;;;;;
;;;;;;;;;;;;;;;;
Tusvik & Tønne på oppdagelsesreise;Ole Bull Scene;04.10.2018;19:00 / 21:30;13.10.2018;;Prøv noe nytt;5;Nei;Komikerduoen Tusvik og Tønne kommer endelig til Bergen!;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Bingokveld;Det Akademiske Kvarter;17.10.2018;18:00;17.10.2018;;Prøv noe nytt;3;Nei;Ta med deg en venn eller to, og dra og spill BINGO!;;;;;;;
;;;;;;;;;;;;;;;;
Fantastic Parties and Where to find them;Det Akademiske Kvarter;17.11.2018;;;;Prøv noe nytt;4;Nei;hmm;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Statistikkens fall;Det Akademiske Kvarter;11.09.2018;18:00;11.09.2018;20:00;Debatt og samfunn;2;Nei;Forskning blir stadig forenklet for vår forståelese, men kan man egentlig stole på statistikk? Gå ikke glipp av Andrea Saltelli sitt foredrag. ;;;;;;;
;;;;;;;;;;;;;;;;
Debatt: Virkelighetslitteratur;Det Akademiske Kvarter;12.09.2018;18:00;12.09.2018;20:00;Debatt og samfunn;2;Nei;Spørsmålene innlederne forsøker å svare på er hvor langt unna virkeligheten må romanen være for å kategoriseres som fiksjon?;;;;;;;
;;;;;;;;;;;;;;;;
Profitt på blå resept;Det Akademiske Kvarter;13.09.2018;18:00;13.09.2018;20:00;Debatt og samfunn;2;Nei;Er det riktig at legemiddelindustrien kan sette prisene på medisinene så høyt de ønsker, når medisiner er livsviktge for så mange?;;;;;;;
;;;;;;;;;;;;;;;;
Damer i musikkbransjen;Litteraturhuset;13.09.2018;19:00;13.09.2018;;Debatt og samfunn;2;Nei;Få med deg debatten om hvordan det går med likestillingen i musikkbransjen;;;;;;;
;;;;;;;;;;;;;;;;
Plantenes fantastiske tilpasninger;Det Akademiske Kvarter;18.09.2018;18:00;13.09.2018;;Debatt og samfunn;2;Nei;Er du interessert i planter og floraen? Da er denne debatten perfekt for deg!;;;;;;;
;;;;;;;;;;;;;;;;
Litterært Kvarter: Sumaya Jirde Ali;Det Akademiske Kvarter;19.09.2018;18:00;19.09.2018;20:00;Debatt og samfunn;2;Nei;Sumaya Jirde Ali går i dybden om sin nyeste utgivelse, Melanin hvitere enn blekemiddel;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Små partier - store stemmer;Det Akademiske Kvarter;20.09.2018;18:00;20.09.2018;;Debatt og samfunn;2;Nei;Innlederne i denne debatten diskuterer ideologiene i de norske partiene, og forsøker å finne ut hva de virkelig står for;;;;;;;
;;;;;;;;;;;;;;;;
Ingen økonomi uten psykologi ;Det Akademiske Kvarter;25.09.2018;18:00;25.09.2018;20:00;Debatt og samfunn;2;Nei;Hva er egentlig sammenhengen mellom psykologi og økonomi? Få svaret under dette foredraget;;;;;;;
;;;;;;;;;;;;;;;;
Kræsjkurs i sex;Det Akademiske Kvarter;26.09.2018;18:00;26.09.2018;20:00;Debatt og samfunn;4;Nei;Sex er noe av det mest naturlige vi mennesker gjør. Men var seksualundervisningen på videregående egentlig nok?;;;;;;;
;;;;;;;;;;;;;;;;
Transhumanisme;Det Akademiske Kvarter;03.10.2018;18:00;03.10.2018;20:00;Debatt og samfunn;2;Nei;Hvilke moralske spørsmål må man ta stilling til når det kommer til bioteknologi? Få svaret under denne debatten;;;;;;;
;;;;;;;;;;;;;;;;
Wolfgang pratar;Det Akademiske Kvarter;16.10.2018;18:00;16.10.2018;;Debatt og samfunn;2;Nei;Musikken reiser mange spørsmål. Kan musikken spille en rolle i direkte kommunikasjon? Kan musikk fremføres feil? Dette og mer er spørsmål som blir besvart under dette foredraget;;;;;;;
;;;;;;;;;;;;;;;;
Dyrenes superkrefter;Det Akademiske Kvarter;16.10.2018;20:00;16.10.2018;;Debatt og samfunn;2;Nei;Lær ting du aldri visste om dyr og innsekter under dette spennende foredraget om dyrelivet;;;;;;;
;;;;;;;;;;;;;;;;
Rikhet for loven;Det Akademiske Kvarter;18.10.2018;18:00;18.10.2018;20:00;Debatt og samfunn;2;Nei;"""Rettsikkerhet er en grunnstein i demokratiet og skal sikre likhet for loven, men fungerer den i praksis når de gode juristene kun er tilgjengelig for de rike?"" Spennende debatt om økonomi og det norske lovverket!";;;;;;;
;;;;;;;;;;;;;;;;
Angst på Akvariet;Akvariet;23.10.2018;18:00;23.10.2018;20:00;Debatt og samfunn;2;Nei;Hvorfor har vi fobier for ufarlige ting, og hvordan kan vi bli kvitt de? Få svarene under dette foredraget!;;;;;;;
;;;;;;;;;;;;;;;;
Andregenerasjonen ;Det Akademiske Kvarter;24.10.2018;18:00;24.10.2018;;Debatt og samfunn;2;Nei;"""Vi frykter alle noe; terror, kriminalitet, endringer, kulturpåvirkning eller døden. Hvordan blir det så når frykten knytter seg til den du er, ikke hva du gjør.""";;;;;;;
;;;;;;;;;;;;;;;;
Overvåkning og beredskap;Litteraturhuset;25.10.2018;18:00;25.10.2018;;Debatt og samfunn;2;Nei;;;;;;;;
;;;;;;;;;;;;;;;;
Heilt ekstremt;Det Akademiske Kvarter;30.10.2018;18:00;30.10.2018;20:00;Debatt og samfunn;2;Nei;;;;;;;;
;;;;;;;;;;;;;;;;
P3-kartellet;Det Akademiske Kvarter;30.10.2018;20:00;30.10.2018;;Debatt og samfunn;2;Nei;;;;;;;;
;;;;;;;;;;;;;;;;
Ei verd full av ost;Det Akademiske Kvarter;31.10.2018;18:00;31.10.2018;20:00;Debatt og samfunn;2;Nei;;;;;;;;
;;;;;;;;;;;;;;;;
Gode areidarar eller gode medmenneske;Det Akademiske Kvarter;01.11.2018;18:00;01.11.2018;;Debatt og samfunn;2;Nei;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Alkohol og avhengighet;Det Akademiske Kvarter;06.11.2018;18:00;06.11.2018;20:00;Debatt og samfunn;2;Nei;;;;;;;;
;;;;;;;;;;;;;;;;
Blant hentai og kawaii;Litteraturhuset;07.11.2018;18:00;07.11.2018;;Debatt og samfunn;2;Nei;;;;;;;;
;;;;;;;;;;;;;;;;
Politisk aften ;Det Akademiske Kvarter;08.11.2018;20:00;08.11.2018;;Debatt og samfunn;2;Nei;;;;;;;;
;;;;;;;;;;;;;;;;
Lovløst verdensrom;Det Akademiske Kvarter;13.11.2018;18:00;13.11.2018;;Debatt og samfunn;2;Nei;;;;;;;;
;;;;;;;;;;;;;;;;
Musikkk og samfunnskritikk ;Det Akademiske Kvarter;13.11.2018;20:00;13.11.2018;;Debatt og samfunn;2;Nei;;;;;;;;
;;;;;;;;;;;;;;;;
Bra damer med Guri Solberg;Det Akademiske Kvarter;14.11.2018;18:00;14.11.2018;;Debatt og samfunn;2;Nei;;;;;;;;
;;;;;;;;;;;;;;;;
Studenthistorier;Det Akademiske Kvarter;21.11.2018;18:00;21.11.2018;;Debatt og samfunn;2;Nei;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
